"","sid","lname","fname","rating"
"1","1","POTH","KENNY","58"
"2","2","PIPIA","CODY","95"
"3","3","JOHNSTONE","JOSUE","21"
"4","4","CALLEJA","MELISSIA","77"
"5","5","BASCAS","MELVIN","39"
"6","6","ACRES","JAE","66"
"7","7","BALDELLI","LUCRETIA","2"
"8","8","IWANSKI","JACKQUELINE","49"
"9","9","GELB","BRAIN","83"
"10","10","COKE","TORY","73"
"11","11","EGEL","GEORGANN","79"
"12","12","MENEDEZ","GONZALO","3"
"13","13","NURNBERGER","GLYNIS","48"
"14","14","BERQUIST","BRYCE","8"
"15","15","OGWIN","ALAINA","67"
"16","16","SEGUI","CHERLYN","46"
"17","17","KRAWIEC","LEONILA","48"
"18","18","STEARNE","TONY","34"
"19","19","SISSOM","ELLIS","48"
"20","20","STOLLEY","RASHAD","78"
"21","21","HOIUM","ROCKY","40"
"22","22","SEVERE","TORY","72"
"23","23","SMELLEY","ALLENE","24"
"24","24","SPYCHER","MAURICE","78"
"25","25","AGNELLO","ERWIN","82"
"26","26","PEHL","STEVIE","28"
"27","27","SHERK","SHELTON","13"
"28","28","AHLMAN","LILLIANA","98"
"29","29","COVILLE","AL","15"
"30","30","BALZER","RUTHA","45"
"31","31","DOMANGUE","LYNWOOD","49"
"32","32","KHER","AVERY","52"
"33","33","BEMROSE","BERTIE","58"
"34","34","GEVORKYAN","ALICIA","93"
"35","35","KROFT","DAVIS","99"
"36","36","WHISH","LUCIANO","24"
"37","37","LADESMA","LYNETTA","18"
"38","38","USTICO","BRADLEY","62"
"39","39","KOZYRA","FORREST","51"
"40","40","MONCRIEF","ARDELLA","28"
"41","41","QUASHNOCK","JAYME","45"
"42","42","TAHA","HAYWOOD","7"
"43","43","MCENERY","YURI","64"
"44","44","SCOLLARD","BARRETT","39"
"45","45","BARNTHOUSE","OCTAVIO","61"
"46","46","DEGRAFFENREID","RUDY","89"
"47","47","NIBLETT","WILBER","76"
"48","48","WITTENBURG","NICKY","72"
"49","49","LANCZ","FREDA","29"
"50","50","BRIGHTER","DON","32"
"51","51","SPATZ","SHAUN","52"
"52","52","OJIMA","ALLYSON","57"
"53","53","GONCHOFF","CATRINA","97"
"54","54","GZYM","JERICA","82"
"55","55","GERYCH","MELLIE","96"
